Halal,NAME,BSE-ID,NSECode,Industry,More
no,ANNA INFRASTRUCTURES LTD.,ANNAINFRA,,Finance & Investments,More
yes,ANNAPURNA SWADISHT LIMITED,,ANNAPURNA,Packaged Foods,More
no,ANS INDUSTRIES LTD,ANSINDUS,,Food - Processing - Indian,More
no,ANSAL BUILDWELL LTD.,ANSALBU,,Construction,More
no,ANSAL HOUSING LTD,ANSALHSG,,Construction,More
no,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,ANSALAPI,ANSALAPI,Construction,More
yes,Antarctica Limited,ANTGRAPHIC,ANTGRAPHIC,Basic Materials,More
yes,ANTARCTICA LTD.,ANTARTICL,,Printing & Stationery,More
no,ANTONY WASTE HANDLING CELL LTD,AWHCL,AWHCL,Miscellaneous,More
yes,ANUBHAV INFRASTRUCTURE LTD,ANUBHAV,,Construction,More
yes,ANUH PHARMA LTD.,ANUHPHR,,Pharmaceuticals - Indian - Bulk Drugs,More
no,ANUPAM FINSERV LTD,ANUPAM,,Finance & Investments,More
yes,ANUPAM RASAYAN INDIA LTD,ANURAS,ANURAS,Pharmaceuticals - Indian - Bulk Drugs & Formln,More
no,ANUROOP PACKAGING LTD,ANUROOP,,Packaging,More
yes,APAR INDUSTRIES LTD.,APARINDS,APARINDS,Electric Equipment,More
yes,APCOTEX INDUSTRIES LTD.,APCOTEXIND,APCOTEXIND,Miscellaneous,More
no,Apeejay Surrendra Park Hotels Ltd,PARKHOTELS,PARKHOTELS,Hotel & Resorts,More
yes,APEX FROZEN FOODS LTD,APEX,APEX,Aquaculture,More
yes,APL APOLLO TUBES LTD.,APLAPOLLO,APLAPOLLO,Steel - Large,More
no,APLAB LTD.,APLAB,,Electronics - Components,More
no,APLAYA CREATIONS LTD,APLAYA,,Trading,More
yes,APM INDUSTRIES LTD.,APMIN,,Textiles - Spinning - Synthetic / Blended,More
no,APOLLO FINVEST (INDIA) LTD.,APOLLOFI,,Finance & Investments,More
yes,APOLLO HOSPITALS ENTERPRISE LTD.,APOLLOHOSP,APOLLOHOSP,Healthcare,More
yes,APOLLO MICRO SYSTEMS LTD,APOLLO,APOLLO,Computers - Software - Medium / Small,More
yes,APOLLO PIPES LTD,APOLLOPIPES,APOLLOPIPE,Plastics Products,More
yes,APOLLO SINDOORI,,APOLSINHOT,Hotels,More
yes,APOLLO TRICOAT TUBES LTD,APOLLOTRI,,Steel - Medium / Small,More
yes,APOLLO TYRES LTD.,APOLLOTYRE,APOLLOTYRE,Tyres,More
